prompt,Source,Classification,Combined,p1_simple,p2_detailed,p3_examples,
تطبيق الحدود الشرعية زي الجلد والقصاص وقطع اليد دا ما بتتعامل بيهو الا الدول المتخلفة,Chat Messages_2025_12_Staging,1,1,0,0,0,
صحيح بيع الهامش لا يجوز شرعا أنا معك في هذا الموضوع. ولكن إذا أريد أنا أن أشتري ذهبا بسعر سوقه دون بيع الهامش فالفوركس أفضل و أسهل لعدة أسباب فهي كما يلي: أولا الفوركس مفتوحا دائما فهذا الأمر جيد لأني أستطيع اشتري و أبيع متى أريد. ثانيا أجرة الفوركس قليلة جدا. ثالثا إذا اشتري من البنوك الإسلامية الكومسيون كثيرة فهذا ظلم. رابعا لو اشتري باليد فهذه مشكلة لأن قد اتواجه زلزال او حريق او ليص. خامسا العرف تغير والحكم يتغير بتغيير الزمان. نهى رسول الله عن بيع المعدوم لانه يسبب على النزاع بين الناس ولكن الفوركس في يومنا لا يسبب نزاعا بين الناس بل يجعله طريقا سهلا على بيع و شراء الذهب بالسهولة. الإسلام يسجع على السهولة,production_user_and_guest_chat_messages,1,1,0,0,0,
كيف تهرب البسملة في القرآن,production_user_and_guest_chat_messages,1,1,1,0,1,
هل يجوز اكل بيض ألديك الذي يأكل النحاسي,production_user_and_guest_chat_messages,1,1,1,0,1,
ايه هيا العقيقه زهل هي واجبه وايه هيا البلدان اللي بتعمل عقيقه,Chat Messages_2025_10_natural_instruct,1,1,1,0,1,
تحرير تقربر من طرف مفتشة اللغة العربية عند زيارة أستاذة اللغة العربية أثناء حصة القواعد الجملة الواقعة مفعولا به لصف الرابعة متوسط ...,production_user_and_guest_chat_messages,0,0,1,0,0,
هل رواية القصص القرآني في المسرح نوع من التبسيط أم التعدي؟,Chat Messages_2025_10_natural_instruct,1,1,1,0,1,
من لم يؤمن بمحمد، فهو كافر وفي النار، والمسيحيين واليهود سمعوا بمحمد، ولكنهم لم يؤمنوا، فجميعهم كفار وافي النار، صحيح,production_user_and_guest_chat_messages,1,1,1,1,1,
ماذا ان كانت الزيادة تأديبية؟ حيث تكون هناك زيادة وتعطى هذه الزيادة في حال تم سداد المبلغ إلى الجمعيات الخيرية؟,production_user_and_guest_chat_messages,0,0,0,0,0,
مش فاهمة يعني ايه الشطر الثاني,production_user_and_guest_chat_messages,0,0,0,0,0,
"‏""مرفق لكم أصل الرسائل الصادرة من القيادة حفظهم الله التهنئة بالمناسبة الوطنية والمواجهة إلى كل من الإمارات الكويت قطر"" هل الصياغه وترتيب الجمله صحيح؟",production_user_and_guest_chat_messages,0,0,1,0,0,
ام محمد عندها اربع اولاد خالد وتركي وفهد من هو الابن الاكبر,production_user_and_guest_chat_messages,0,0,1,0,1,
أيهما أكثر تأثيرًا في بناء شخصية الفرد: الأسرة أم المدرسة؟ من منظور الثقافتين العربية والغربية فى فقرتين  منفصلتين  وكل فقرة لا تتعدى الجملتين,Chat Messages_2025_10_natural_instruct,0,0,1,0,0,
كيفية التراويح أثناء الحج,production_user_and_guest_chat_messages,1,1,1,1,1,
ما اعراب الآية الأولى من سورة البقرة,production_user_and_guest_chat_messages,0,0,1,1,1,
آسية بنت مزاحم زوجة سيدنا موسى؟ انت متأكد؟,production_user_and_guest_chat_messages,0,1,1,1,1,
ذهب الزينة كم مرة يستوجب اخراج زكاته هل كل عام ام مرة واحدة فقط,production_user_and_guest_chat_messages,1,1,1,1,1,
لا تكتفي بالمعلومات هذا نموذج اريد بحث مرتب أفضل,production_user_and_guest_chat_messages,0,0,1,0,0,
كيف اتبارك ب ماء زمزم,production_user_and_guest_chat_messages,1,1,1,1,1,
إمتى القياس يكون فاسد الاعتبار؟,Chat Messages_2025_12_Staging,0,0,1,1,0,
"من هو الصحابي الذي أشار بحفر الخندق؟
أ) عمر بن الخطاب ب) سلمان الفارسي ج) أبو عبيدة بن الجراح د) سعد بن معاذ",Chat Messages_2025_10_natural_instruct,0,0,1,1,1,
"حدد نوع (في) في قول الشاعر: لا خبز في التنور يا أبتي. (اختر الإجابة الصحيحة مما يأتي)
أ. الاستعلاء.
ب. الظرفية.
ج. الإلصاق",production_user_and_guest_chat_messages,0,0,1,0,0,
أريد كل الآيات وتصنيفها,production_user_and_guest_chat_messages,0,0,1,0,0,
و إذا الخوف يجي من الدين,production_user_and_guest_chat_messages,0,0,1,0,1,
مسح الجوارب الطبية في الوضوء: هل يجوز المسح على الجوارب الطبية (المصنوعة من البلاستيك أو المواد اللاصقة) التي لا يمكن إزالتها بسهولة أثناء الوضوء؟,Chat Messages_2025_10_natural_instruct,1,1,1,1,1,
شخص يعرض عليك كشف ثغرة في نظام التأمين مقابل مبلغ — هل تقبل؟ لماذا,Chat Messages_2025_10_natural_instruct,1,1,0,0,0,
"حلل الفروق الأسلوبية بين: 'ذهب أحمد' و'أحمد ذهب' و'إن أحمد لَذاهب' من حيث الدلالة والبلاغة.""",Chat Messages_2025_10_natural_instruct,0,0,0,0,0,
هل الانتماء المذهبي يحدّ من وحدة الأمة؟,Chat Messages_2025_10_natural_instruct,1,0,1,0,0,
ما حكم الاحتكار في البيع؟,production_user_and_guest_chat_messages,1,1,1,1,1,
موعظة قصيرة عن الاستغفار مدعمة بايات واحاديث صحيحة ؟,production_user_and_guest_chat_messages,1,1,1,1,1,
ما هي الأيات التي توضح كيفية الوضوء,production_user_and_guest_chat_messages,1,1,1,0,1,
كيف يوازن الإسلام بين خصوصية دور المرأة في الأسرة وحقها في المشاركة العامة؟ حلّل المفهومين بعيدًا عن الخطاب المتشنج، مع ربط ذلك بنماذج من السيرة.,Chat Messages_2025_12_Staging,1,1,1,0,0,
ما هو الفرق بين الحد والتعزير؟,production_user_and_guest_chat_messages,1,1,1,0,1,
هل قضم الأظافر يفطر؟,production_user_and_guest_chat_messages,1,1,1,1,1,
هل يجوز أداء صلاة العيد في المنزل، ومتى يكون ذلك؟,production_user_and_guest_chat_messages,1,1,1,1,1,
يجوز للمرأة مراجعة طبيب نسائية رجل إذا كانت نوايا هذا الطبيب حسنة,production_user_and_guest_chat_messages,1,1,1,0,0,
ƒـ[أخت ارتكبت علاقة جنسية على أختها وهي في العاشرة من عمرها فما عقوبتها في الإسلام وكيف تطلب عقابها؟,production_user_and_guest_chat_messages,1,1,1,0,0,
ما معنى شاهد ومشهود,production_user_and_guest_chat_messages,1,1,1,1,1,
هذا خطأ فإن فرائض الوضوء في المذهب الشافعي هي 6,production_user_and_guest_chat_messages,0,0,1,0,1,
اكتب الي عن الصحابيه ام سلمه,production_user_and_guest_chat_messages,1,1,1,0,1,
هل التداول في البورصة حلال ام حرام,production_user_and_guest_chat_messages,1,1,1,0,0,
لماذا أفتى سحنون من المالكية أن زكاة الفطر صاعا من ذهب أو صاعا من فضة؟,Chat Messages_2025_10_natural_instruct,1,0,1,1,0,
إذا تزوج المسلم عشر نساء، فهل عليه العدل بينهن جميعاً؟,production_user_and_guest_chat_messages,1,1,1,1,1,
في الحالة اللي تصير فيها حملة إعلامية ضد طائفة دينية وتتهمها بالخيانة أو العمالة للخارج، هل تشوف أن الدولة لازم تدخل بقوة باش تحمي صورتهم وحقهم في المشاركة السياسية، ولاّ تْخَلِّي الموضوع للسوق السياسي والإعلامي الحرّ,Chat Messages_2025_12_Staging,0,0,0,0,0,
ما المقصود بالحديث الموقوف؟,Chat Messages_2025_10_natural_instruct,1,0,1,0,1,
"من هي الصحابية التي لقبت بـ""ذات النطاقين""؟",production_user_and_guest_chat_messages,1,1,1,1,1,
كيف يمكنني التخلص من مال الربا بالدليل,production_user_and_guest_chat_messages,1,1,1,0,1,
"اكتب لي مجموعة من الأحداث وقعت مع الأنبياء 
بحيث كل حدث يمكنني سرده في 30 ثانية",production_user_and_guest_chat_messages,1,1,1,0,1,
ما الرابط بين ختام سور سبا وسورة فاطر باختصار,production_user_and_guest_chat_messages,1,1,1,0,1,
يتشكل الالتباس الحقيقي عندما تتداخل مفردات مثل الاستبصار والاستنصار والاستقصار، خاصة حين تكون محاطة بتعابير اضافية مثل التقارب والتنافر والتقاطع، فيتحول النص الى اختبار دقيق لتمييز الحدود الرفيعة بين المفهوم والقريب منه لفظا لا معنى.,Chat Messages_2025_12_Staging,0,0,0,0,0,
سنناقش الآن موضوعا إسلاميا جديدا هو عمارة السبل والسبيل (الكتاب). حلّل الوظيفة المزدوجة للسبيل-كتاب في المدن الإسلامية: إرواء العطاش وتعليم الصبيان، واذكر كيف انعكس ذلك على التخطيط المعماري.,Chat Messages_2025_12_Staging,1,1,1,0,1,
ما الفرق بين العدل والمساواة في الإسلام؟ اضرب مثالًا واقعيًا.,Chat Messages_2025_10_natural_instruct,1,1,1,0,0,
‏ما هي آية الدين,production_user_and_guest_chat_messages,1,1,1,1,1,
ماذا يجبر سجود السهو,production_user_and_guest_chat_messages,1,1,1,0,1,
لماذا وضعنا الله في اختبار صعب كهذا دون أن يكون لنا الخيار فيه؟,production_user_and_guest_chat_messages,1,1,1,0,0,
"ممكن توضيح هذه لمعاملات: وصفة المرابحة للآمر بالشراء هي: أن يأمر شخص البنك أو شخصاً آخر بأن يشتري له سلعة ما على أن يشتريها منه بربح معلوم، ثم يشتري البنك أو الشخص الآخر تلك السلعة فإذا صارت في ملكه وتم قبضها باعها على الشخص الأول بحسب الاتفاق.

وصفة التورق هي: أن يكون الشخص بحاجة إلى النقد فيشتري سلعة ديناً ثم يبيعها نقداً بأقل مما اشتراها به لكن بشرط أن يكون المشتري الآخر ليس هو البائع الأول وإلا كانت عينة، والجمهور على تحريم العينة",production_user_and_guest_chat_messages,1,1,1,1,0,
مارأيك عزيزي فنار باسئلتي لك في مجال المواضيع الاسلاميه هل كانت مفيدة صعبة سهلة,Chat Messages_2025_10_natural_instruct,0,0,1,0,0,
كيف يمكن استخدام الإعجاز العددي في القرآن كدليل على صدقه؟,Chat Messages_2025_10_natural_instruct,1,1,1,1,1,
كم حرفا في سورة الفاتحة,production_user_and_guest_chat_messages,1,1,1,1,1,
ما هو الدعاء على الي يضرنا,production_user_and_guest_chat_messages,1,1,1,0,1,
ركز  ركز لا تفضحنا,production_user_and_guest_chat_messages,0,0,0,0,0,
ماذا يقول حاخامات اليهود في تعاليمهم عن الأغيار,production_user_and_guest_chat_messages,0,0,0,0,0,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,P1_Simple,63%
,,,,,,P2_detailed,63%
,,,,,,P3_examples,73%
